,x,y,x_scaled,y_scaled
194,2242,2049,0.31259765624999997,0.0048828125
195,2243,2050,0.314208984375,0.009765625
196,2244,2050,0.3158203125,0.009765625
197,2245,2050,0.31743164062499996,0.009765625
198,2246,2049,0.31904296875,0.0048828125
199,2247,2049,0.32065429687499997,0.0048828125
200,2248,2050,0.322265625,0.009765625
201,2249,2049,0.323876953125,0.0048828125
202,2250,2050,0.32548828124999996,0.009765625
203,2251,2050,0.327099609375,0.009765625
204,2252,2050,0.32871093749999997,0.009765625
205,2253,2050,0.330322265625,0.009765625
206,2254,2049,0.33193359375,0.0048828125
207,2255,2050,0.33354492187499996,0.009765625
208,2256,2050,0.33515625,0.009765625
209,2257,2050,0.33676757812499997,0.009765625
210,2258,2050,0.33837890625,0.009765625
211,2259,2050,0.339990234375,0.009765625
212,2260,2049,0.34160156249999996,0.0048828125
213,2261,2049,0.343212890625,0.0048828125
214,2262,2049,0.34482421874999997,0.0048828125
215,2263,2049,0.346435546875,0.0048828125
216,2264,2050,0.348046875,0.009765625
217,2265,2047,0.34965820312499996,-0.0048828125
218,2266,2050,0.35126953125,0.009765625
219,2267,2049,0.35288085937499997,0.0048828125
220,2268,2050,0.3544921875,0.009765625
221,2269,2050,0.356103515625,0.009765625
222,2270,2050,0.35771484374999996,0.009765625
223,2271,2050,0.359326171875,0.009765625
224,2272,2049,0.36093749999999997,0.0048828125
225,2273,2049,0.362548828125,0.0048828125
226,2274,2050,0.36416015625,0.009765625
227,2275,2050,0.36577148437499996,0.009765625
228,2276,2049,0.3673828125,0.0048828125
229,2277,2049,0.36899414062499997,0.0048828125
230,2278,2050,0.37060546875,0.009765625
231,2279,2050,0.372216796875,0.009765625
232,2280,2049,0.37382812499999996,0.0048828125
233,2281,2050,0.375439453125,0.009765625
234,2282,2050,0.37705078124999997,0.009765625
235,2283,2051,0.378662109375,0.0146484375
236,2284,2050,0.3802734375,0.009765625
237,2285,2050,0.38188476562499996,0.009765625
238,2286,2050,0.38349609375,0.009765625
239,2287,2049,0.38510742187499997,0.0048828125
240,2288,2049,0.38671875,0.0048828125
241,2289,2049,0.388330078125,0.0048828125
242,2290,2050,0.38994140624999996,0.009765625
243,2291,2050,0.391552734375,0.009765625
244,2292,2049,0.39316406249999997,0.0048828125
245,2293,2049,0.394775390625,0.0048828125
246,2294,2050,0.39638671875,0.009765625
247,2295,2049,0.39799804687499996,0.0048828125
248,2296,2050,0.399609375,0.009765625
249,2297,2050,0.40122070312499997,0.009765625
250,2298,2049,0.40283203125,0.0048828125
251,2299,2049,0.404443359375,0.0048828125
252,2300,2050,0.40605468749999996,0.009765625
253,2301,2051,0.407666015625,0.0146484375
254,2302,2049,0.40927734374999997,0.0048828125
255,2303,2050,0.410888671875,0.009765625
256,2304,2050,0.4125,0.009765625
257,2305,2047,0.41411132812499996,-0.0048828125
258,2306,2049,0.41572265625,0.0048828125
259,2307,2050,0.41733398437499997,0.009765625
260,2308,2050,0.4189453125,0.009765625
261,2309,2050,0.420556640625,0.009765625
262,2310,2050,0.42216796874999996,0.009765625
263,2311,2049,0.423779296875,0.0048828125
264,2312,2050,0.42539062499999997,0.009765625
265,2313,2051,0.427001953125,0.0146484375
266,2314,2050,0.42861328125,0.009765625
267,2315,2049,0.43022460937499996,0.0048828125
268,2316,2049,0.4318359375,0.0048828125
269,2317,2050,0.43344726562499997,0.009765625
270,2318,2049,0.43505859375,0.0048828125
271,2319,2049,0.436669921875,0.0048828125
272,2320,2050,0.43828124999999996,0.009765625
273,2321,2050,0.439892578125,0.009765625
274,2322,2050,0.44150390624999997,0.009765625
275,2323,2047,0.443115234375,-0.0048828125
276,2324,2050,0.4447265625,0.009765625
277,2325,2049,0.44633789062499996,0.0048828125
278,2326,2049,0.44794921875,0.0048828125
279,2327,2050,0.44956054687499997,0.009765625
280,2328,2050,0.451171875,0.009765625
281,2329,2050,0.452783203125,0.009765625
282,2330,2050,0.45439453124999996,0.009765625
283,2331,2048,0.456005859375,0.0
284,2332,2049,0.45761718749999997,0.0048828125
285,2333,2050,0.459228515625,0.009765625
286,2334,2050,0.46083984375,0.009765625
287,2335,2050,0.46245117187499996,0.009765625
288,2336,2050,0.4640625,0.009765625
289,2337,2050,0.46567382812499997,0.009765625
290,2338,2049,0.46728515625,0.0048828125
291,2339,2050,0.468896484375,0.009765625
292,2340,2050,0.47050781249999996,0.009765625
293,2341,2050,0.472119140625,0.009765625
294,2342,2049,0.47373046874999997,0.0048828125
295,2343,2048,0.475341796875,0.0
296,2344,2050,0.476953125,0.009765625
297,2345,2050,0.47856445312499996,0.009765625
298,2346,2049,0.48017578125,0.0048828125
299,2347,2050,0.48178710937499997,0.009765625
300,2348,2049,0.4833984375,0.0048828125
301,2349,2049,0.485009765625,0.0048828125
302,2350,2050,0.48662109374999996,0.009765625
303,2351,2052,0.488232421875,0.01953125
304,2352,2050,0.48984374999999997,0.009765625
305,2353,2049,0.491455078125,0.0048828125
306,2354,2050,0.49306640625,0.009765625
307,2355,2049,0.49467773437499996,0.0048828125
308,2356,2050,0.4962890625,0.009765625
309,2357,2049,0.49790039062499997,0.0048828125
310,2358,2049,0.49951171875,0.0048828125
311,2359,2050,0.501123046875,0.009765625
312,2360,2050,0.502734375,0.009765625
313,2361,2050,0.5043457031249999,0.009765625
314,2362,2050,0.50595703125,0.009765625
315,2363,2050,0.507568359375,0.009765625
316,2364,2049,0.5091796875,0.0048828125
317,2365,2050,0.510791015625,0.009765625
318,2366,2050,0.5124023437499999,0.009765625
319,2367,2050,0.514013671875,0.009765625
320,2368,2050,0.515625,0.009765625
321,2369,2047,0.517236328125,-0.0048828125
322,2370,2050,0.51884765625,0.009765625
323,2371,2049,0.5204589843749999,0.0048828125
324,2372,2050,0.5220703125,0.009765625
325,2373,2049,0.523681640625,0.0048828125
326,2374,2050,0.52529296875,0.009765625
327,2375,2046,0.526904296875,-0.009765625
328,2376,2050,0.5285156249999999,0.009765625
329,2377,2050,0.530126953125,0.009765625
330,2378,2049,0.53173828125,0.0048828125
331,2379,2049,0.533349609375,0.0048828125
332,2380,2050,0.5349609375,0.009765625
